Block,Lot,Address,Status,District
9,3,198 BLUE MILL RD,Non Contributing,SL
9,3.01,204 BLUE MILL RD,Non Contributing,SL
9,4,210 BLUE MILL RD,Vacant,SL
9,5,212 BLUE MILL RD,Vacant,SL
9,6,214 BLUE MILL RD,Contributing,SL
9,8,222 BLUE MILL RD,Non Contributing,SL
9,9,228 BLUE MILL RD,Non Contributing,SL
9,10,232 BLUE MILL RD,Non Contributing,SL
9,11,236 BLUE MILL RD,Non Contributing,SL
9,12,238 BLUE MILL RD,Contributing,SL
9,13,242 BLUE MILL RD,Contributing,SL
9,14,563 SPRING VALLEY RD,Contributing,SL
9,15,555 SPRING VALLEY RD,Contributing,SL
9,16,547 SPRING VALLEY RD,Contributing,SL
9,17,537 SPRING VALLEY RD,Contributing,SL
9,27,57 DICKSONS MILL RD,Non Contributing,SL
9,30,505 SPRING VALLEY RD,Contributing,GV
9,32,15 DICKSONS MILL RD,Vacant,SL
10,1,70 DICKSONS MILL RD,Contributing,GV
10,2,72 DICKSONS MILL RD,Contributing,GV
10,3,74 DICKSONS MILL RD,Contributing,GV
10,4,76 DICKSONS MILL RD,Contributing,GV
10,5,78 DICKSONS MILL RD,Contributing,GV
10,6,503 SPRING VALLEY RD,Contributing,GV
10,7,225 VILLAGE RD,Contributing,GV
10,8,223 VILLAGE RD,Contributing,GV
10,9,221 VILLAGE RD,Contributing,GV
10,10,219 VILLAGE RD,Contributing,GV
10,11,217 VILLAGE RD,Contributing,GV
10,12,215 VILLAGE RD,Non Contributing,GV
10,13,213 VILLAGE RD,Contributing,GV
10,15,58 DICKSONS MILL RD,Non Contributing,SL
10,15.01,28 DICKSONS MILL RD,Vacant,SL
10,15.02,46 DICKSONS MILL RD,Non Contributing,SL
10,17,195 VILLAGE RD,Contributing,IS
10,18.01,165 VILLAGE RD,Contributing,IS
10,19,48 DICKSONS MILL RD,Contributing,SL
11,2,502 SPRING VALLEY RD,Contributing,GV
11,3,500 SPRING VALLEY RD,Contributing,GV
11,4,496 SPRING VALLEY RD,Contributing,GV
11,4.01,494 SPRING VALLEY RD,Contributing,GV
11,4.02,0,Contributing,GV
12,4,38 WOODLAND RD,Contributing,IS
12,7,12 WOODLAND RD,Contributing,IS
12,8,30 MEYERSVILLE RD,Contributing,GV
12,8.01,28 MEYERSVILLE RD,Non Contributing,GV
12,9,18 MEYERSVILLE RD,Contributing,GV
12,10,14 MEYERSVILLE RD,Non Contributing,GV
12,11,10 MEYERSVILLE RD,Non Contributing,GV
12,12,8 MEYERSVILLE RD,Contributing,GV
12,13,6 MEYERSVILLE RD,Contributing,GV
12,14,4 MEYERSVILLE RD,Contributing,GV
